2018-11-06 16:53:18.958| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  SQL - select * from amit;
2018-11-06 16:53:18.958| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  ResultSet Num Of Rows - 8
2018-11-06 16:53:18.958| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  Processed Num Of Rows - 120
2018-11-06 16:53:18.958| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  Success
2018-11-06 16:53:25.925| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  Connection id - 10
2018-11-06 16:53:25.925| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  Start Time - 2018-11-06 16:53:25
2018-11-06 16:53:25.925| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  Statement select 1;
2018-11-06 16:53:25.954| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15)| sqream|  Connection id - 10 - Executing - select 1;
2018-11-06 16:53:26.25| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  Connection id - 10
2018-11-06 16:53:26.25| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  End Time - 2018-11-06 16:53:26
2018-11-06 16:53:26.25| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  SQL - select 1;
2018-11-06 16:53:26.25| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  ResultSet Num Of Rows - 1
2018-11-06 16:53:26.25| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  Processed Num Of Rows - 2
2018-11-06 16:53:26.25| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| Guy| (stmt : 15) | sqream|  Success
2018-11-06 16:53:32.246| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 16) | sqream|  Connection id - 10
2018-11-06 16:53:32.247| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 16) | sqream|  Start Time - 2018-11-06 16:53:32
2018-11-06 16:53:32.247| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 16) | sqream|  Statement select * from amit group by x;
2018-11-06 16:53:32.321| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 16) | sqream|  Connection id - 10
2018-11-06 16:53:32.321| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 16) | sqream|  End Time - 2018-11-06 16:53:32
2018-11-06 16:53:32.321| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 16) | sqream|  SQL - identifier not found y
2018-11-06 16:53:32.321| on thread[140447603222272 c10s15]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 16) | sqream|  Failed
2018-11-06 16:53:36.630| on thread[140447603222272 c10s15]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  Connection id - 10
2018-11-06 16:53:36.630| on thread[140447603222272 c10s15]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  Start Time - 2018-11-06 16:53:36
2018-11-06 16:53:36.630| on thread[140447603222272 c10s15]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  Statement select count(y), x from amit group by x;
2018-11-06 16:53:36.751| on thread[140447603222272 c10s17]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17)| sqream|  Connection id - 10 - Executing - select count(y), x from amit group by x;
